id,sitecode,sakename,kuramoto,address,is_junmai,seimaibuai,alcohol,nihonsyudo,sando,aminosando,etc1,etc2,etc3,etc4,etc5,etc6,etc7,etc8
1,21,田酒 純米吟醸,蔵元：株式会社　西田酒造店,蔵元：青森市大字油川字大浜46,純米,精米歩合：50%,None,None,None,None,原材料：米・米こうじ,,,,,,,
2,57,獺祭 純米大吟醸 遠心分離50 本生,蔵元：旭酒造株式会社,蔵元：山口県岩国市周東町獺越2167-4,純米,精米歩合：50%,度数：16度,None,None,None,原材料：米・米こうじ,,,,,,,
3,59,清泉（きよいずみ） 特別純米酒,蔵元：久須美酒造株式会社,蔵元：新潟県長岡市小島谷1537-2,純米,精米歩合：55%,度数：15度以上16度未満,None,None,None,原材料：米・米こうじ,,,,,,,
4,61,越淡麗・純米無濾過生原酒,蔵元：千代の光酒造株式会社,蔵元：新潟県妙高市窪松原656,純米,精米歩合：54%,度数：17度以上18度未満,None,None,None,原材料：米・米こうじ,,,,,,,
5,66,澤屋まつもと 無濾過生原酒 純米,蔵元：松本酒造株式会社,蔵元：京都市伏見区横大路三栖大黒町７,None,精米歩合：65%,度数：18度,日本酒度：+3.0,酸数：1.5,アミノ酸度：1.1,原材料：米・米麹,原料米：愛山（兵庫県産）,,,,,,
6,68,風和（かぜやわらか）,蔵元：有限会社 加藤酒造店,蔵元：新潟県佐渡市沢根炭屋町50,純米,精米歩合：55%,度数：15度,None,None,None,原材料：米・米麹,,,,,,,
7,75,繁桝　限定　純米吟醸 生々,蔵元：株式会社　高橋商店,蔵元：福岡県八女市本町2-22-1,純米,精米歩合：50%,度数：16度以上17度未満,None,None,None,原材米：山田錦100%,原材料：米（国産）・米麹（国産）,,,,,,
8,77,神亀 上槽中汲酒,蔵元：神亀酒造株式会社,蔵元：埼玉県蓮田市大字馬込1978,純米,精米歩合：60%,度数：17度以上17.9度未満,None,None,None,原材米：阿波山田錦,原材料：米・米麹,,,,,,
9,80,龍力 山田錦,蔵元：株式会社　本田商店,蔵元：兵庫県姫路市網干区高田361-1,純米,精米歩合：65%,度数：16度,None,None,None,原材米：兵庫県特A地区産山田錦100%使用,原材料：米（国産）・米こうじ（国産米）,,,,,,
10,82,龍力　神力,蔵元：株式会社　本田商店,蔵元：兵庫県姫路市網干区高田361-1,純米,精米歩合：65%,度数：16度以上17度未満,None,None,None,原材米：本場神力100%使用,原材料：米・米こうじ,,,,,,
11,84,羽前　桜川,蔵元：野沢酒造場,蔵元：山形県小国町大字小国小坂町213,純米,精米歩合：45%,度数：15度,None,None,None,原材料：米・米こうじ,,,,,,,
12,92,獺祭 純米大吟醸50 本生,蔵元：旭酒造株式会社,蔵元：山口県岩国市周東町獺越2167-4,純米,精米歩合：50%,度数：16度以上１７度未満,None,None,None,原材料：米・米こうじ,,,,,,,
13,94,とつとつと温かさ伝えたい,蔵元：高木酒造株式会社,蔵元：高知県香南市赤岡町443,純米,精米歩合：65%,度数：15度以上１6度未満,None,None,None,原材料：米・米こうじ,,,,,,,
14,96,黒龍,蔵元：黒龍酒造株式会社,蔵元：福井県吉田郡永平寺町松岡春日1-38,純米,精米歩合：55%,度数：15度,None,None,None,原材料：米・米こうじ,使用米：福井県産五百万石100%,,,,,,
15,98,土佐 亀泉,蔵元：亀泉酒造株式会社,蔵元：高知県土佐市出間2123-1,純米,精米歩合：60%,度数：15度,None,None,None,原材料：米・米こうじ,,,,,,,
16,100,本州一,蔵元：合名会社　梅田酒造場,蔵元：広島県安芸区船越6-3-8,純米,精米歩合：65%,度数：16度8分,None,None,None,原材料：米・米こうじ,,,,,,,
