sakecode,sakename,meigaracode,syurui,genryoumai,seimaibuai,nihonsyudo,sando,aminosando,amakardo,noutando,alcohol
3315,京極 原酒,1235,本醸造 原酒,,,4,1.8,,-0.87,0.18,20
3317,京極 名水 純米造り,1235,純米酒,トヨニシキ、キヨニシキ（秋田県産）,55,3,1.4,,-0.31,-0.52,15.5
3318,京極 名水 辛口,1235,本醸造,,,6,1.4,,-0.59,-0.66,15.5
3316,京極 名水 本造り,1235,本醸造,トヨニシキ、キヨニシキ（秋田県産）,60,4,1.8,,-0.87,0.18,15.3
3314,京極 カップ,1235,,,,4,1.8,,-0.87,0.18,15
3323,二世古 原酒 大吟醸,1234,原酒 大吟醸,トヨニシキ、キヨニシキ（秋田県産）,45,3,,,,,17.5
3324,二世古 吟醸酒,1234,吟醸酒,,,,,,,,17.5
3326,二世古 純米 原酒,1234,純米 原酒,,,,,,,,17.5
3321,二世古 蝦夷 鬼ころし 原酒,1234,原酒,,,,,,,,20.5
3319,二世古 純米酒,1234,純米酒,トヨニシキ、キヨニシキ（秋田県産）,55,3,1.4,,-0.31,-0.52,15.5
3325,二世古 上撰,1234,,,,0,1.4,,-0.03,-0.39,15.8
3322,二世古 えぞの誉,1234,活性にごり酒,,,5,1.7,,-0.85,-0.05,15.3
3320,二世古 金印 芳醸,1234,,,,0,1.4,,-0.03,-0.39,15.3
5739,飲ん米 純米酒,2882,純米酒,ふっくりんこ（北海道函館市産）　　　,,15,,,,,15
5447,柴田 純米吟醸,2758,純米吟醸,美山錦,55,4,1.2,,-0.17,-0.95,15.5
5448,柴田 からくち 純米,2758,純米酒,北海道産米,65,6,1.3,,-0.47,-0.85,15.5
5449,柴田 からくち 本醸造,2758,本醸造,北海道産米,70,7,1.2,,-0.45,-1.08,15.5
25,千歳鶴 吉翔,5,大吟醸,山田錦,40,6,1.1,0.8,-0.24,-1.22,16.5
32,千歳鶴 柴田與次右衛門,5,純米吟醸,美山錦,55,4,1.2,1.1,-0.17,-0.95,14.5
458,千歳鶴 北海道の地酒 吟醸,5,,吟風,55,4,1.1,1.2,-0.06,-1.13,15.5
34,千歳鶴 北海道の地酒 純米,5,,吟風,60,4,1.2,1.1,-0.17,-0.95,15.5
459,千歳鶴 芳翔,5,吟醸,美山錦,55,4,1.2,1,-0.17,-0.95,15.5
31,千歳鶴 雪原の舞,5,大吟醸,吟風,40,5,1.2,1.1,-0.27,-0.99,15.5
14,北の錦 三年古酒,6,大吟醸,山田錦,45,4,1.2,1.3,-0.17,-0.95,16.5
13,北の錦 まる田,6,特別純米酒,,55,4,1.6,1.4,-0.64,-0.19,16.5
498,北の錦 鳳紋,6,本醸造,,65,2,,1.3,,,
446,北の錦 煌宙,6,大吟醸,,,5,1.2,1.3,-0.27,-0.99,15.5
12,北の錦 北のろまん,6,特別本醸造,,,13,1.2,1.3,-1,-1.35,15.5
447,北の錦 秘蔵純米酒,6,純米酒,,,3,1.6,1.6,-0.54,-0.15,17.3
448,北の錦 北海278,6,特別純米,初雫（北海278）,55,2,1.3,1.5,-0.1,-0.67,15.5
5484,気まぐれ 吟醸,2804,,キララ397,50,3,1.2,,-0.08,-0.9,
2239,雪氷室 一夜雫 大吟醸原酒,150,大吟醸原酒,山田錦,35,5,1.1,,-0.15,-1.18,17.5
44,雪氷室 一夜雫 大吟醸清酒,150,大吟醸,山田錦,35,5,1.1,0.7,-0.15,-1.18,15.5
2240,雪氷室 一夜雫 大吟醸清酒 やよいしぼり 生詰,150,大吟醸,山田錦,35,5,,,,,15.5
6,国士無双 大吟醸,3,大吟醸,山田錦,50,4,1.1,,-0.06,-1.13,15.2
7,国士無双 烈,3,特別純米,美山錦,58,3,1.3,,-0.2,-0.71,15.2
457,国士無双 純米酒,3,,キヨニシキ,65,3,,,,,15.2
4,金滴 徳富,2,大吟醸,山田錦,40,4,1.2,0.7,-0.17,-0.95,16.5
499,金滴 金冠,2,本醸造,,70,1,,1.4,,,
5,金滴 微笑一献,2,大吟醸,吟風,40,6,1.3,,-0.47,-0.85,16.5
48,国稀 大吟醸,9,大吟醸,山田錦,38,5,1.3,,-0.38,-0.8,15.8
2200,国稀 吟醸原酒,9,吟醸原酒,山田錦,50,4.5,1.5,,,,17.5
2196,国稀 吟醸酒,9,吟醸酒,山田錦,50,4,1.4,,-0.4,-0.57,15.5
2197,国稀 吟醸酒 雪のかおり,9,吟醸酒,ゆきひかり（北海道雨竜郡北竜町産）,50,4,1.5,,-0.52,-0.38,15.5
2202,国稀 手造り,9,,ササニシキ,65,0.5,,,,,19.2
2203,国稀 特別純米酒,9,特別純米酒,五百万石,58,4.5,1.6,,,,15.8
2206,国稀 本醸造 暑寒おろし,9,本醸造,吟風,65,3,1.5,,-0.43,-0.34,15.5
2205,国稀 北海 にごり酒,9,にごり酒,ササニシキ,65,9,1.7,,-1.21,-0.23,19.2
46,国稀 北海 鬼ころし,9,普通酒,ササニシキ,65,9,1.5,,-0.98,-0.61,17.5
2199,国稀 本醸造,9,本醸造,ササニシキ,65,4,1.5,,-0.52,-0.38,15.5
